"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Confidence","OTU"
"963414b7a953b31a9b5979837950d327","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","963414b7a953b31a9b5979837950d327"
"963a001afdc3d69c2c1ea96830cd4c9b","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","unidentified","unidentified","0.7790931","963a001afdc3d69c2c1ea96830cd4c9b"
"9648567255e1412cf4e2e6c46ba1e416","Fungi","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia","Wallemia_sebi","0.9998728","9648567255e1412cf4e2e6c46ba1e416"
"965bb2a44895e847c3456abfc47ffbe5","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.7421241","965bb2a44895e847c3456abfc47ffbe5"
"965c6519f8b2378e9337435e428fef6b","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","965c6519f8b2378e9337435e428fef6b"
"965dcd4b048339a561beea439ed3bbbe","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","965dcd4b048339a561beea439ed3bbbe"
"965de96778f72ab2f46488600f598eb2","Fungi","Chytridiomycota","unidentified","unidentified","unidentified","unidentified","unidentified","0.9853725","965de96778f72ab2f46488600f598eb2"
"965fa3323f23bddfbe06c0f32243ca28","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.8180589","965fa3323f23bddfbe06c0f32243ca28"
"966cd128cde81bbcc764cc623f80195d","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA,"0.9838412","966cd128cde81bbcc764cc623f80195d"
"9678c1582d2292b2181c27e16602363a","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.8376888","9678c1582d2292b2181c27e16602363a"
"968531390748364c1030c76c115d5632","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","968531390748364c1030c76c115d5632"
"968f40c593e5e27381c3f63317d19776","Fungi","Monoblepharomycota","Monoblepharidomycetes","Monoblepharidales","unidentified","unidentified","unidentified","0.9999922","968f40c593e5e27381c3f63317d19776"
"968f9dd35c430a208739f51fd1d8ca94","Fungi","Rozellomycota","unidentified","unidentified","unidentified","unidentified","unidentified","0.9999936","968f9dd35c430a208739f51fd1d8ca94"
